,0,5,6,7,8,9,10,24,25,26,27,28,41,42,43,44,45,59,60,61,62,63,78,79,80,81
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rainfall (mm)   ,,,,,0,,,,,0,,,,,,0,,,,,0,,,0,
2,Max Temperature ( deg C),,,,,32,,,,,33,,,,,,33,,,,,33,,,32,
3,Min Temperature ( deg C),,,,,18,,,,,18,,,,,,18,,,,,21,,,20,
4,Total cloud cover (octa) ,,,,,4,,,,,5,,,,,,3,,,,,4,,,2,
5,Max Relative Humidity (%) ,,,,,88,,,,,84,,,,,,69,,,,,93,,,87,87
6,Min Relative Humidity (%) ,,,,,17,,,,,17,,,,,,17,,,,,9,,,28,
7,Wind speed (kmph)  ,,,,,5,,,,,5,,,,,,5,,,,,8,,,7,
8,Wind direction (deg)  ,,,,,81,,,,,73,,,,,,73,,,,,99,,,79,
9,,,,,,,,,,,,,,,,,,,,,,,,,,
